año,economía,crisis
1976,2,2
1977,0,4
headlines_1978.txt,0,1
headlines_1979.txt,1,3
headlines_1980.txt,0,5
headlines_1981.txt,0,1
headlines_1982.txt,1,5
headlines_1983.txt,2,2
headlines_1984.txt,0,4
headlines_1985.txt,2,2
headlines_1986.txt,1,3
headlines_1987.txt,2,2
headlines_1988.txt,0,2
headlines_1989.txt,0,1
headlines_1990.txt,1,7
headlines_1991.txt,2,4
headlines_1992.txt,4,6
headlines_1993.txt,8,11
headlines_1994.txt,3,9
headlines_1995.txt,0,8
headlines_1996.txt,2,3
headlines_1997.txt,3,3
headlines_1998.txt,0,11
headlines_1999.txt,0,4
headlines_2000.txt,1,3
headlines_2001.txt,3,4
headlines_2002.txt,1,9
headlines_2003.txt,0,4
headlines_2004.txt,1,2
headlines_2005.txt,0,1
headlines_2006.txt,0,7
headlines_2007.txt,0,12
headlines_2008.txt,2,13
headlines_2009.txt,2,12
headlines_2010.txt,2,7
headlines_2011.txt,2,16
headlines_2012.txt,3,4
headlines_2013.txt,2,3
